Coordonnees;sitear;neighbourhood;organisat;photo;governorate;district;householdnum;household;men;women;boys;girls;individual;water_access;electric;openelement;damage;hazards;mines;geo;class;accom;siteclass;scoreclass;longitude;latitude;SSID
"44,0912167076;32,5448982418";???? ?????;?????? ??????;iom;1428569852608.jpg;Kerbala;Al-Hindiya;c. 4-5;9;10;11;13;13;47;4. None;3. Minor;4. None;4. None;4. none;4. none;32,5448982418,44,0912167076;a. 0-49;finished;Collective Center;3.Moderate;44,09121671;32,54489824;
"44,2281848006;32,3676996958";???? ?????;???????;iom;1428825711841.jpg;Kerbala;Al-Hindiya;d. 6-7;7;11;8;17;13;49;4. None;3. Minor;4. None;4. None;4. none;4. none;32,3676996958,44,2281848006;a. 0-49;finished;Collective Center;3.Moderate;44,2281848;32,3676997;
"44,2032706831;32,4021449173";???? ?????;?????? ??????;iom;1428904340208.jpg;Kerbala;Al-Hindiya;d. 6-7;7;10;17;13;10;50;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4021449173,44,2032706831;b. 50-99;finished;Collective Center;3.Moderate;44,20327068;32,40214492;
"44,2813197439;32,2788888386";???? ???? ???? ???????;????? ????????;reach_initiative;1426318981964.jpg;Najaf;Najaf;c. 4-5;13;11;15;18;8;52;4. None;3. Minor;4. None;4. None;4. none;4. none;32,2788888386,44,2813197439;b. 50-99;finished;informal settlement;3.Moderate;44,28131974;32,27888884;
"44,1765988804;32,4402058823";???? ?????;?????? ??????;iom;1428915494650.jpg;Kerbala;Al-Hindiya;c. 4-5;12;10;12;8;22;52;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4402058823,44,1765988804;b. 50-99;finished;Collective Center;3.Moderate;44,17659888;32,44020588;
"44,2311395891;32,3631964345";???? ?????;???????;iom;1428820214707.jpg;Kerbala;Al-Hindiya;d. 6-7;8;12;9;16;16;53;4. None;3. Minor;4. None;4. None;4. none;4. none;32,3631964345,44,2311395891;b. 50-99;finished;Collective Center;3.Moderate;44,23113959;32,36319643;
"44,1927273385;32,4168191571";???? ?????;?????? ??????;iom;1428911450011.jpg;Kerbala;Al-Hindiya;c. 4-5;10;19;15;15;6;55;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4168191571,44,1927273385;b. 50-99;finished;Collective Center;3.Moderate;44,19272734;32,41681916;
"44,1109512281;32,5302081183";???? ?????;?????? ??????;iom;1429078720431.jpg;Kerbala;Al-Hindiya;c. 4-5;16;14;16;15;12;57;4. None;3. Minor;4. None;4. None;4. none;4. none;32,5302081183,44,1109512281;b. 50-99;finished;Collective Center;3.Moderate;44,11095123;32,53020812;
"44,1004678141;32,5388008263";???? ?????;?????? ??????;iom;1429081628301.jpg;Kerbala;Al-Hindiya;c. 4-5;14;16;14;10;20;60;4. None;3. Minor;4. None;4. None;4. none;4. none;32,5388008263,44,1004678141;b. 50-99;finished;Collective Center;3.Moderate;44,10046781;32,53880083;
"44,1739913542;32,4444561778";???? ?????;?????? ??????;iom;1428916680720.jpg;Kerbala;Al-Hindiya;c. 4-5;12;12;12;22;16;62;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4444561778,44,1739913542;b. 50-99;finished;Collective Center;3.Moderate;44,17399135;32,44445618;
"44,1098847985;32,5314188004";???? ?????;?????? ??????;iom;1429079352460.jpg;Kerbala;Al-Hindiya;b. 2-3;19;20;20;15;8;63;4. None;3. Minor;4. None;4. None;4. none;4. none;32,5314188004,44,1098847985;b. 50-99;finished;Collective Center;3.Moderate;44,1098848;32,5314188;
"44,2313588597;32,3630487872";???? ?????;???????;iom;1428821385760.jpg;Kerbala;Al-Hindiya;c. 4-5;12;20;22;14;7;63;4. None;3. Minor;4. None;4. None;4. none;4. none;32,3630487872,44,2313588597;b. 50-99;finished;Collective Center;3.Moderate;44,23135886;32,36304879;
"44,1510843672;32,4823412066";???? ?????;?????? ??????;iom;1428994008980.jpg;Kerbala;Al-Hindiya;d. 6-7;10;10;13;27;19;69;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4823412066,44,1510843672;b. 50-99;finished;Collective Center;3.Moderate;44,15108437;32,48234121;
"44,235708816;32,356974883";???? ?????;???????;iom;1428817799783.jpg;Kerbala;Al-Hindiya;c. 4-5;16;15;16;16;27;74;4. None;3. Minor;4. None;4. None;4. none;4. none;32,356974883,44,235708816;b. 50-99;finished;Collective Center;3.Moderate;44,23570882;32,35697488;
"44,1072031762;32,5341387279";???? ?????;?????? ??????;iom;1429079979746.jpg;Kerbala;Al-Hindiya;d. 6-7;12;14;20;14;26;74;4. None;3. Minor;4. None;4. None;4. none;4. none;32,5341387279,44,1072031762;b. 50-99;finished;Collective Center;3.Moderate;44,10720318;32,53413873;
"44,1039432865;32,5364647061";???? ?????;?????? ??????;iom;1429080913913.jpg;Kerbala;Al-Hindiya;c. 4-5;16;22;18;18;18;76;4. None;3. Minor;4. None;4. None;4. none;4. none;32,5364647061,44,1039432865;b. 50-99;finished;Collective Center;3.Moderate;44,10394329;32,53646471;
"44,1083762236;32,533188262";???? ?????;?????? ??????;iom;1429079602323.jpg;Kerbala;Al-Hindiya;c. 4-5;16;18;22;24;20;84;4. None;3. Minor;4. None;4. None;4. none;4. none;32,533188262,44,1083762236;b. 50-99;finished;Collective Center;3.Moderate;44,10837622;32,53318826;
"44,1985844448;32,4086230388";???? ?????;?????? ??????;iom;1428908722901.jpg;Kerbala;Al-Hindiya;d. 6-7;16;12;18;20;40;90;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4086230388,44,1985844448;b. 50-99;finished;Collective Center;3.Moderate;44,19858444;32,40862304;
"44,2033237405;32,4022252578";???? ?????;?????? ??????;iom;1428905036174.jpg;Kerbala;Al-Hindiya;c. 4-5;21;35;33;14;10;92;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4022252578,44,2033237405;b. 50-99;finished;Collective Center;3.Moderate;44,20332374;32,40222526;
"44,1753596161;32,4423620012";???? ?????;?????? ??????;iom;1428915656900.jpg;Kerbala;Al-Hindiya;c. 4-5;20;16;20;32;24;92;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4423620012,44,1753596161;b. 50-99;finished;Collective Center;3.Moderate;44,17535962;32,442362;
"44,2010990996;32,4049527291";???? ?????;?????? ??????;iom;1428907693884.jpg;Kerbala;Al-Hindiya;c. 4-5;20;20;20;24;30;94;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4049527291,44,2010990996;b. 50-99;finished;Collective Center;3.Moderate;44,2010991;32,40495273;
"44,1116535477;32,5295984605";???? ?????;?????? ??????;iom;1429078575803.jpg;Kerbala;Al-Hindiya;c. 4-5;25;25;27;23;25;100;4. None;3. Minor;4. None;4. None;4. none;4. none;32,5295984605,44,1116535477;c. 100-249;finished;Collective Center;3.Moderate;44,11165355;32,52959846;
"44,1007599235;32,5387438294";???? ?????;?????? ??????;iom;1429081586077.jpg;Kerbala;Al-Hindiya;c. 4-5;24;22;28;30;28;108;4. None;3. Minor;4. None;4. None;4. none;4. none;32,5387438294,44,1007599235;c. 100-249;finished;Collective Center;3.Moderate;44,10075992;32,53874383;
"44,1141609102;32,5266867969";???? ?????;?????? ??????;iom;1429078122017.jpg;Kerbala;Al-Hindiya;c. 4-5;29;29;33;24;30;116;4. None;3. Minor;4. None;4. None;4. none;4. none;32,5266867969,44,1141609102;c. 100-249;finished;Collective Center;3.Moderate;44,11416091;32,5266868;
"44,1783458367;32,4373599328";???? ?????;?????? ??????;iom;1428914065614.jpg;Kerbala;Al-Hindiya;c. 4-5;28;28;28;32;28;116;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4373599328,44,1783458367;c. 100-249;finished;Collective Center;3.Moderate;44,17834584;32,43735993;
"44,1801865865;32,4344942858";???? ?????;?????? ??????;iom;1428912647582.jpg;Kerbala;Al-Hindiya;c. 4-5;69;80;90;90;61;321;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4344942858,44,1801865865;d. 250-499;finished;Collective Center;3.Moderate;44,18018659;32,43449429;
"44,1798373964;32,4352844059";?? ???;?????? ??????;iom;1428912061847.jpg;Kerbala;Al-Hindiya;c. 4-5;9;8;13;9;7;37;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4352844059,44,1798373964;a. 0-49;tent unfinished;Collective Center;4.Low;44,1798374;32,43528441;
"44,1537947394;32,4780274602";???? ?????;?????? ??????;iom;1428914515016.jpg;Kerbala;Al-Hindiya;c. 4-5;25;23;29;26;24;102;4. None;3. Minor;4. None;4. None;4. none;4. none;32,4780274602,44,1537947394;c. 100-249;unfinished finished;Collective Center;3.Moderate;44,15379474;32,47802746;
"45,2268297225;31,2958329404";???? ???? ????;????? ???? ???;iom;1425370415407.jpg;Muthanna;Al-Samawa;d. 6-7;14;20;22;18;21;81;3. Minor;2. Moderate;4. None;4. None;4. none;4. none;31,2958329404,45,2268297225;b. 50-99;finished;informal settlement;4.Low;45,22682972;31,29583294;
"44,2814543461;32,2780386862";???? ?????? ???? ????;????? ????????;reach_initiative;1426317681727.jpg;Najaf;Najaf;c. 4-5;28;34;33;38;34;139;2. Moderate;2. Moderate;4. None;4. None;3. Minor;4. none;32,2780386862,44,2814543461;c. 100-249;finished;informal settlement;3.Moderate;44,28145435;32,27803869;
"44,2002564669;32,4062988628";???? ?????;?????? ??????;iom;1428907156770.jpg;Kerbala;Al-Hindiya;d. 6-7;6;6;11;15;13;45;4. None;2. Moderate;4. None;4. None;4. none;4. none;32,4062988628,44,2002564669;a. 0-49;finished;Collective Center;3.Moderate;44,20025647;32,40629886;
"44,1194767971;32,5210738136";???? ?????;?????? ??????;iom;1429000076054.jpg;Kerbala;Al-Hindiya;d. 6-7;8;8;11;9;18;46;4. None;2. Moderate;4. None;4. None;4. none;4. none;32,5210738136,44,1194767971;a. 0-49;finished;Collective Center;3.Moderate;44,1194768;32,52107381;
"44,1105254274;32,530858512";???? ?????;?????? ??????;iom;1429079430327.jpg;Kerbala;Al-Hindiya;c. 4-5;14;12;14;10;16;52;4. None;2. Moderate;4. None;4. None;4. none;4. none;32,530858512,44,1105254274;b. 50-99;finished;Collective Center;3.Moderate;44,11052543;32,53085851;
"44,1736367997;32,4454681668";???? ?????;?????? ??????;iom;1428916986112.jpg;Kerbala;Al-Hindiya;c. 4-5;14;12;26;8;10;56;4. None;2. Moderate;4. None;4. None;4. none;4. none;32,4454681668,44,1736367997;b. 50-99;finished;Collective Center;3.Moderate;44,1736368;32,44546817;
"44,0888424497;32,5467266282";???? ?????;?????? ??????;iom;1428564212125.jpg;Kerbala;Al-Hindiya;d. 6-7;13;16;18;30;20;84;4. None;2. Moderate;4. None;4. None;4. none;4. none;32,5467266282,44,0888424497;b. 50-99;tent;Collective Center;3.Moderate;44,08884245;32,54672663;
"44,0119159999999;36,186678";;??????;;1440069752574.jpg;Erbil;Erbil;c. 4-5;294;300;400;170;230;1100;4. None;4. None;4. None;4. None;3. Minor;4. none;36,186678,44,0119159999999;f. >=1000;finished;informal settlement;4.Low;44,011916;36,186678;IQ1102-0041
"45,3750740899278;35,2783909736837";?????;?????;;1440665051175.jpg;Sulaymaniyah;Sulaymaniyah;b. 2-3;6;7;4;5;5;21;4. None;4. None;4. None;4. None;4. none;4. none;35,2783909736837,45,3750740899278;a. 0-49;improved;Collective Center;4.Low;45,37507409;35,27839097;IQ0510-0020
"42,9806956884143;36,7832537683606";;?????;;1439193527551.jpg;Dahuk;Sumel;d. 6-7;6;12;13;9;7;41;4. None;4. None;4. None;4. None;4. none;4. none;36,7832537683606,42,9806956884143;a. 0-49;improved;informal settlement;4.Low;42,98069569;36,78325377;IQ0803-0450
"44,8180219999999;35,52467";;??????  ?????????;;1440922192730.jpg;Sulaymaniyah;Chamchamal;c. 4-5;12;14;16;16;12;58;4. None;4. None;4. None;4. None;4. none;4. none;35,52467,44,8180219999999;b. 50-99;improved;informal settlement;4.Low;44,818022;35,52467;IQ0501-0002
"40,7273651956643;33,1807346697781";?? ??? ?? ???;????? ????;;1440919779778.jpg;Anbar;Rutba;d. 6-7;34;40;45;50;54;189;4. None;4. None;4. None;4. None;4. none;4. none;33,1807346697781,40,7273651956643;c. 100-249;improved;informal settlement;4.Low;40,7273652;33,18073467;IQ0107-0004
"43,9923207525374;36,2223938205126";????? ?????;????? ?????? ?? ????? ;;1439894739580.jpg;Erbil;Erbil;c. 4-5;48;75;50;46;33;204;4. None;4. None;4. None;4. None;4. none;4. none;36,2223938205126,43,9923207525374;c. 100-249;improved;Collective Center;3.Moderate;43,99232075;36,22239382;IQ1102-0066
"43,1246436473538;36,9396132002542";;???????;;1438239250358.jpg;Dahuk;Dahuk;c. 4-5;6;6;6;7;10;29;4. None;4. None;4. None;4. None;4. none;4. none;36,9396132002542,43,1246436473538;a. 0-49;improved unfinished;informal settlement;4.Low;43,12464365;36,9396132;IQ0802-0163
"45,3484716342157;35,6043369645711";????????? ???;????????? ???;;1441006740310.jpg;Sulaymaniyah;Sulaymaniyah;c. 4-5;7;7;6;13;8;34;4. None;4. None;4. None;4. None;4. none;4. none;35,6043369645711,45,3484716342157;a. 0-49;tent;informal settlement;4.Low;45,34847163;35,60433696;IQ0510-0021
"42,9713545439484;36,7855506301931";;?????;;1439118637408.jpg;Dahuk;Sumel;c. 4-5;6;5;10;7;6;28;4. None;4. None;4. None;4. None;4. none;4. none;36,7855506301931,42,9713545439484;a. 0-49;tent skelekon;informal settlement;3.Moderate;42,97135454;36,78555063;IQ0803-0421
"42,8079595653283;36,8197639015195";;???? ??? ?????;;1439468896595.jpg;Dahuk;Sumel;c. 4-5;5;8;3;5;6;22;4. None;4. None;4. None;4. None;4. none;4. none;36,8197639015195,42,8079595653283;a. 0-49;tent unfinished;informal settlement;4.Low;42,80795957;36,8197639;IQ0803-0569
"43,0428974701552;36,7687655862936";;???? ????;;1438678170020.jpg;Dahuk;Sumel;c. 4-5;7;9;9;5;10;33;4. None;4. None;4. None;4. None;4. none;4. none;36,7687655862936,43,0428974701552;a. 0-49;tent unfinished;informal settlement;5.None;43,04289747;36,76876559;IQ0803-0339
"42,955682;36,8844929999999";;????? ????;;1437989006259.jpg;Dahuk;Dahuk;d. 6-7;122;250;200;150;100;700;4. None;4. None;4. None;4. None;4. none;4. none;36,8844929999999,42,955682;e. 500-999;tent unfinished;informal settlement;4.Low;42,955682;36,884493;IQ0802-0033
"45,3652689999999;34,3433789999999";;????/??? ???? ?????;;1440840263341.jpg;Diyala;Khanaqin;b. 2-3;6;1;0;7;7;15;4. None;4. None;4. None;4. None;4. none;4. none;34,3433789999999,45,3652689999999;a. 0-49;unfinished;informal settlement;3.Moderate;45,365269;34,343379;IQ1004-0052
"42,9147616252338;36,8914430143054";???? ???????;?????;;;Dahuk;Sumel;c. 4-5;5;5;5;7;5;22;4. None;4. None;4. None;4. None;4. none;4. none;36,8914430143054,42,9147616252338;a. 0-49;unfinished;informal settlement;4.Low;42,91476163;36,89144301;IQ0803-0268
"42,8565645342993;36,8487956695653";?? ?????;?????;;1438674207394.jpg;Dahuk;Sumel;c. 4-5;5;6;5;4;7;22;4. None;4. None;4. None;4. None;4. none;4. none;36,8487956695653,42,8565645342993;a. 0-49;unfinished;informal settlement;4.Low;42,85656453;36,84879567;IQ0803-0333
"42,982430634959;36,7897063252418";;?????;;1439276628455.jpg;Dahuk;Sumel;c. 4-5;6;10;7;3;3;23;4. None;4. None;4. None;4. None;4. none;4. none;36,7897063252418,42,982430634959;a. 0-49;unfinished;informal settlement;4.Low;42,98243063;36,78970633;IQ0803-0503
"42,9201466028313;36,8851588981355";???? ????;?????;;1438238100199.jpg;Dahuk;Sumel;c. 4-5;5;6;5;5;7;23;4. None;4. None;4. None;4. None;4. none;4. none;36,8851588981355,42,9201466028313;a. 0-49;unfinished;informal settlement;5.None;42,9201466;36,8851589;IQ0803-0274
"42,9968101326645;36,8094715321422";;????? ????;;1439291470604.jpg;Dahuk;Sumel;c. 4-5;5;7;8;4;4;23;4. None;4. None;4. None;4. None;4. none;4. none;36,8094715321422,42,9968101326645;a. 0-49;unfinished;informal settlement;4.Low;42,99681013;36,80947153;IQ0803-0521
"42,9826250281412;36,7699499584586";;?????;;1438860146289.jpg;Dahuk;Sumel;c. 4-5;5;6;7;5;6;24;4. None;4. None;4. None;4. None;4. none;4. none;36,7699499584586,42,9826250281412;a. 0-49;unfinished;informal settlement;4.Low;42,98262503;36,76994996;IQ0803-0382
"42,9804894929641;36,8152643148248";;??? ?????;;1439379888904.jpg;Dahuk;Sumel;c. 4-5;5;3;5;4;12;24;4. None;4. None;4. None;4. None;4. none;4. none;36,8152643148248,42,9804894929641;a. 0-49;unfinished;informal settlement;4.Low;42,98048949;36,81526431;IQ0803-0548
"43,2360880200039;36,9091425486067";;?????;;1438168656728.jpg;Dahuk;Dahuk;c. 4-5;6;7;8;7;3;25;4. None;4. None;4. None;4. None;4. none;4. none;36,9091425486067,43,2360880200039;a. 0-49;unfinished;informal settlement;4.Low;43,23608802;36,90914255;IQ0802-0151
"42,687051957819;37,1751226509036";;????;;1439457832807.jpg;Dahuk;Zakho;c. 4-5;6;6;6;8;5;25;4. None;4. None;4. None;4. None;4. none;4. none;37,1751226509036,42,687051957819;a. 0-49;unfinished;informal settlement;5.None;42,68705196;37,17512265;IQ0804-0302
"45,3777806917502;34,360590426532";???? /????/??? ????? ????? ??????;??????/???? ????/ ?????? ????? ??????;;1440834425831.jpg;Diyala;Khanaqin;b. 2-3;8;5;7;7;7;26;4. None;4. None;4. None;4. None;4. none;4. none;34,360590426532,45,3777806917502;a. 0-49;unfinished;informal settlement;4.Low;45,37778069;34,36059043;IQ1004-0156
"42,9804454059416;36,8160099809188";;??? ?????;;1439378838060.jpg;Dahuk;Sumel;c. 4-5;6;9;9;5;3;26;4. None;4. None;4. None;4. None;4. none;4. none;36,8160099809188,42,9804454059416;a. 0-49;unfinished;informal settlement;4.Low;42,98044541;36,81600998;IQ0803-0546
"42,788828378885;36,7867217202833";;?????;;1439120306564.jpg;Dahuk;Sumel;c. 4-5;5;4;4;7;11;26;4. None;4. None;4. None;4. None;4. none;4. none;36,7867217202833,42,788828378885;a. 0-49;unfinished;informal settlement;4.Low;42,78882838;36,78672172;IQ0803-0419
"42,9802918792075;36,8147352698701";;??? ?????;;1439380945001.jpg;Dahuk;Sumel;c. 4-5;5;9;5;10;2;26;4. None;4. None;4. None;4. None;4. none;4. none;36,8147352698701,42,9802918792075;a. 0-49;unfinished;informal settlement;5.None;42,98029188;36,81473527;IQ0803-0550
"42,9667651518526;36,7676836789493";;?????;;1438776327247.jpg;Dahuk;Sumel;c. 4-5;5;10;9;6;2;27;4. None;4. None;4. None;4. None;4. none;4. none;36,7676836789493,42,9667651518526;a. 0-49;unfinished;informal settlement;5.None;42,96676515;36,76768368;IQ0803-0358
"43,0031882262326;36,7757036722884";????? ????? ????;???? ????;;1438691496799.jpg;Dahuk;Sumel;c. 4-5;6;9;6;8;5;28;4. None;4. None;4. None;4. None;4. none;4. none;36,7757036722884,43,0031882262326;a. 0-49;unfinished;informal settlement;5.None;43,00318823;36,77570367;IQ0803-0340
"42,9149604212839;36,8899172244764";???? ????? ???;?????;;1438075230924.jpg;Dahuk;Sumel;d. 6-7;5;5;6;7;10;28;4. None;4. None;4. None;4. None;4. none;4. none;36,8899172244764,42,9149604212839;a. 0-49;unfinished;informal settlement;5.None;42,91496042;36,88991722;IQ0803-0273
"43,2342001752985;36,9096840372112";;?????;;1438171728430.jpg;Dahuk;Dahuk;d. 6-7;5;7;9;5;8;29;4. None;4. None;4. None;4. None;4. none;4. none;36,9096840372112,43,2342001752985;a. 0-49;unfinished;informal settlement;4.Low;43,23420018;36,90968404;IQ0802-0156
"43,2336064916736;36,9100438102002";;?????;;1438173132442.jpg;Dahuk;Dahuk;d. 6-7;5;7;8;5;9;29;4. None;4. None;4. None;4. None;4. none;4. none;36,9100438102002,43,2336064916736;a. 0-49;unfinished;informal settlement;5.None;43,23360649;36,91004381;IQ0802-0160
"42,9855602579669;36,7702089628285";;?????;;1438864444329.jpg;Dahuk;Sumel;c. 4-5;8;9;8;8;6;31;4. None;4. None;4. None;4. None;4. none;4. none;36,7702089628285,42,9855602579669;a. 0-49;unfinished;informal settlement;4.Low;42,98556026;36,77020896;IQ0803-0387
"43,2348906290463;36,9095648185159";;?????;;1438170822415.jpg;Dahuk;Dahuk;d. 6-7;5;9;9;8;5;31;4. None;4. None;4. None;4. None;4. none;4. none;36,9095648185159,43,2348906290463;a. 0-49;unfinished;informal settlement;4.Low;43,23489063;36,90956482;IQ0802-0154
"42,9149613989314;36,8910771063716";???? ?????;?????;;1438073561934.jpg;Dahuk;Sumel;d. 6-7;5;6;7;9;9;31;4. None;4. None;4. None;4. None;4. none;4. none;36,8910771063716,42,9149613989314;a. 0-49;unfinished;informal settlement;5.None;42,9149614;36,89107711;IQ0803-0269
"43,233683299868;36,9101738832575";;?????;;1438173955294.jpg;Dahuk;Dahuk;c. 4-5;6;6;7;7;12;32;4. None;4. None;4. None;4. None;4. none;4. none;36,9101738832575,43,233683299868;a. 0-49;unfinished;informal settlement;4.Low;43,2336833;36,91017388;IQ0802-0161
"42,9687427672117;36,7690409979718";;?????;;1438763026776.jpg;Dahuk;Sumel;d. 6-7;5;6;8;10;8;32;4. None;4. None;4. None;4. None;4. none;4. none;36,7690409979718,42,9687427672117;a. 0-49;unfinished;informal settlement;4.Low;42,96874277;36,769041;IQ0803-0345
"43,2351289159857;36,9094531473417";;?????;;1438170001298.jpg;Dahuk;Dahuk;c. 4-5;8;8;10;5;10;33;4. None;4. None;4. None;4. None;4. none;4. none;36,9094531473417,43,2351289159857;a. 0-49;unfinished;informal settlement;4.Low;43,23512892;36,90945315;IQ0802-0152
"43,0022399408177;36,812953364768";;????? ????;;1439296810425.jpg;Dahuk;Sumel;c. 4-5;8;11;9;8;5;33;4. None;4. None;4. None;4. None;4. none;4. none;36,812953364768,43,0022399408177;a. 0-49;unfinished;informal settlement;4.Low;43,00223994;36,81295336;IQ0803-0534
"43,0343599222242;36,8086433013099";;????;;1438262614847.jpg;Dahuk;Sumel;d. 6-7;5;8;9;9;7;33;4. None;4. None;4. None;4. None;4. none;4. none;36,8086433013099,43,0343599222242;a. 0-49;unfinished;informal settlement;4.Low;43,03435992;36,8086433;IQ0803-0281
"43,0125974157812;36,7738629915026";;???? ????;;1438671347910.jpg;Dahuk;Sumel;c. 4-5;7;14;13;4;3;34;4. None;4. None;4. None;4. None;4. none;4. none;36,7738629915026,43,0125974157812;a. 0-49;unfinished;informal settlement;4.Low;43,01259742;36,77386299;IQ0803-0343
"42,7873689516371;36,7834909093589";;?????;;1439195543110.jpg;Dahuk;Sumel;c. 4-5;7;11;10;7;7;35;4. None;4. None;4. None;4. None;4. none;4. none;36,7834909093589,42,7873689516371;a. 0-49;unfinished;informal settlement;4.Low;42,78736895;36,78349091;IQ0803-0466
"42,922867248554;36,8883849501789";???? ???????;?????;;1438241446001.jpg;Dahuk;Dahuk;d. 6-7;6;7;11;8;9;35;4. None;4. None;4. None;4. None;4. none;4. none;36,8883849501789,42,922867248554;a. 0-49;unfinished;informal settlement;5.None;42,92286725;36,88838495;IQ0802-0165
"42,7895235915131;36,7828154459155";;?????;;1439193307342.jpg;Dahuk;Sumel;d. 6-7;6;11;14;6;4;35;4. None;4. None;4. None;4. None;4. none;4. none;36,7828154459155,42,7895235915131;a. 0-49;unfinished;informal settlement;5.None;42,78952359;36,78281545;IQ0803-0457
"42,9872791949507;36,7701212772937";;?????;;1438865516612.jpg;Dahuk;Sumel;d. 6-7;5;9;10;11;5;35;4. None;4. None;4. None;4. None;4. none;4. none;36,7701212772937,42,9872791949507;a. 0-49;unfinished;informal settlement;4.Low;42,98727919;36,77012128;IQ0803-0388
"42,9981829585621;36,8107751735034";;????? ????;;1439292459413.jpg;Dahuk;Sumel;d. 6-7;5;8;8;9;10;35;4. None;4. None;4. None;4. None;4. none;4. none;36,8107751735034,42,9981829585621;a. 0-49;unfinished;informal settlement;4.Low;42,99818296;36,81077517;IQ0803-0525
"42,837758;36,8633519999999";;?????;;1438247664018.jpg;Dahuk;Sumel;c. 4-5;7;8;7;10;11;36;4. None;4. None;4. None;4. None;4. none;4. none;36,8633519999999,42,837758;a. 0-49;unfinished;informal settlement;4.Low;42,837758;36,863352;IQ0803-0239
"42,8163584146319;36,8707527763583";???? ????;??????;;1438844924180.jpg;Dahuk;Sumel;d. 6-7;6;9;10;8;9;36;4. None;4. None;4. None;4. None;4. none;4. none;36,8707527763583,42,8163584146319;a. 0-49;unfinished;informal settlement;4.Low;42,81635841;36,87075278;IQ0803-0360
"42,921422;36,888649";;????;;1437995177491.jpg;Dahuk;Sumel;d. 6-7;5;6;6;9;15;36;4. None;4. None;4. None;4. None;4. none;4. none;36,888649,42,921422;a. 0-49;unfinished;informal settlement;4.Low;42,921422;36,888649;IQ0803-0025
"42,8946829033741;36,8682823805615";???? ????;????? ????;;1438496172228.jpg;Dahuk;Sumel;c. 4-5;9;11;7;10;9;37;4. None;4. None;4. None;4. None;4. none;4. none;36,8682823805615,42,8946829033741;a. 0-49;unfinished;informal settlement;4.Low;42,8946829;36,86828238;IQ0803-0287
"42,9998031523086;36,8112753067427";;????? ????;;1439298208678.jpg;Dahuk;Sumel;d. 6-7;6;11;6;12;12;41;4. None;4. None;4. None;4. None;4. none;4. none;36,8112753067427,42,9998031523086;a. 0-49;unfinished;informal settlement;4.Low;42,99980315;36,81127531;IQ0803-0536
"42,883311960299;36,8746610372581";???? ????? ????;????? ?????;;1438499033548.jpg;Dahuk;Sumel;c. 4-5;9;12;10;9;11;42;4. None;4. None;4. None;4. None;4. none;4. none;36,8746610372581,42,883311960299;a. 0-49;unfinished;informal settlement;4.Low;42,88331196;36,87466104;IQ0803-0285
"42,7827507200725;36,7737469590292";???? ??? ????;????? ( ??????) ;;1439280255613.jpg;Dahuk;Sumel;c. 4-5;9;12;12;13;5;42;4. None;4. None;4. None;4. None;4. none;4. none;36,7737469590292,42,7827507200725;a. 0-49;unfinished;informal settlement;4.Low;42,78275072;36,77374696;IQ0803-0510
"42,8224380926039;36,8765407005929";???? ???? ???;??????;;1438761453728.jpg;Dahuk;Sumel;d. 6-7;7;10;13;10;9;42;4. None;4. None;4. None;4. None;4. none;4. none;36,8765407005929,42,8224380926039;a. 0-49;unfinished;informal settlement;4.Low;42,82243809;36,8765407;IQ0803-0344
"42,970407;36,7696699999999";;?????;;;Dahuk;Sumel;d. 6-7;6;15;9;4;15;43;4. None;4. None;4. None;4. None;4. none;4. none;36,7696699999999,42,970407;a. 0-49;unfinished;informal settlement;5.None;42,970407;36,76967;IQ0803-0120
"42,7801989962643;36,769181950077";???? ???? ???? ????;????? ???;;1439283386185.jpg;Dahuk;Sumel;d. 6-7;6;10;14;13;7;44;4. None;4. None;4. None;4. None;4. none;4. none;36,769181950077,42,7801989962643;a. 0-49;unfinished;informal settlement;4.Low;42,780199;36,76918195;IQ0803-0515
"42,7895793339847;36,7895012264566";???? ?????? ????;???? ?????;;1438860065064.jpg;Dahuk;Sumel;d. 6-7;8;14;13;10;8;45;4. None;4. None;4. None;4. None;4. none;4. none;36,7895012264566,42,7895793339847;a. 0-49;unfinished;informal settlement;4.Low;42,78957933;36,78950123;IQ0803-0377
"42,9757222447388;36,7848570644204";;?????;;1439207569102.jpg;Dahuk;Sumel;d. 6-7;6;13;14;8;10;45;4. None;4. None;4. None;4. None;4. none;4. none;36,7848570644204,42,9757222447388;a. 0-49;unfinished;informal settlement;4.Low;42,97572224;36,78485706;IQ0803-0494
