Coordonnees;sitear;neighbourhood;organisat;photo;governorate;district;householdnum;household;men;women;boys;girls;individual;water_access;electric;openelement;damage;hazards;mines;geo;class;accom;siteclass;scoreclass;longitude;latitude;SSID
"45,3665209999999;34,3130639999999";;?????? / ??????? / ????? ??????;;1440923381183.jpg;Diyala;Khanaqin;a. <2;6;2;2;2;4;10;4. None;2. Moderate;2. Moderate;1. Major;4. none;4. none;34,3130639999999,45,3665209999999;a. 0-49;skeleton;informal settlement;3.Moderate;45,366521;34,313064;IQ1004-0061
"44,3252994666;32,1237671159";?????? ?????? ???;???? ???;reach_initiative;1425628932079.jpg;Najaf;Najaf;b. 2-3;9;5;8;12;2;27;4. None;4. None;2. Moderate;1. Major;1. Major;4. none;32,1237671159,44,3252994666;a. 0-49;finished;informal settlement;3.Moderate;44,32529947;32,12376712;
"44,2607225912;32,3288729385";???? ???? ??????;????????;reach_initiative;1426322412581.jpg;Kerbala;Al-Hindiya;d. 6-7;5;10;9;7;8;34;4. None;4. None;2. Moderate;1. Major;1. Major;4. none;32,3288729385,44,2607225912;a. 0-49;finished;informal settlement;3.Moderate;44,26072259;32,32887294;
"44,3183932283;32,1620938623";???? ???? ???????;????? ??? ?????;reach_initiative;1425893193131.jpg;Najaf;Najaf;d. 6-7;6;10;8;11;7;36;4. None;4. None;2. Moderate;1. Major;4. none;4. none;32,1620938623,44,3183932283;a. 0-49;finished;informal settlement;3.Moderate;44,31839323;32,16209386;
"44,4172575112;31,9514697787";???? ???? ???????;???????;reach_initiative;1426399551230.jpg;Najaf;Kufa;c. 4-5;6;9;7;5;5;26;4. None;4. None;2. Moderate;1. Major;4. none;4. none;31,9514697787,44,4172575112;a. 0-49;skeleton;informal settlement;4.Low;44,41725751;31,95146978;
"44,3266007848;32,1397266574";???? ???? ??????;??? ?????;reach_initiative;1425886354116.jpg;Najaf;Najaf;c. 4-5;14;18;22;14;14;68;4. None;4. None;2. Moderate;1. Major;1. Major;4. none;32,1397266574,44,3266007848;b. 50-99;skeleton;informal settlement;3.Moderate;44,32660078;32,13972666;
"44,4575443463;31,9262402397";???? ?????? ?? ?????;????? ??? ????;reach_initiative;1426410783854.jpg;Najaf;Al-Manathera;b. 2-3;5;3;5;6;3;17;4. None;4. None;2. Moderate;1. Major;1. Major;4. none;31,9262402397,44,4575443463;a. 0-49;unfinished;informal settlement;3.Moderate;44,45754435;31,92624024;
"44,5158085605;31,7582830737";?? ???? ???;????? ????????;reach_initiative;1426496794234.jpg;Najaf;Al-Manathera;c. 4-5;5;4;5;8;4;21;4. None;4. None;2. Moderate;1. Major;1. Major;4. none;31,7582830737,44,5158085605;a. 0-49;unfinished;informal settlement;3.Moderate;44,51580856;31,75828307;
"44,318906206;32,1606775764";???? ???? ??????;????? ??? ?????;reach_initiative;1425632107200.jpg;Najaf;Najaf;c. 4-5;5;5;6;6;6;23;4. None;4. None;2. Moderate;1. Major;4. none;4. none;32,1606775764,44,318906206;a. 0-49;unfinished;informal settlement;3.Moderate;44,31890621;32,16067758;
"44,3236726185;32,105885829";???? ?? ????;???? ?????;reach_initiative;1425625521913.jpg;Najaf;Kufa;d. 6-7;6;18;9;9;8;44;4. None;4. None;2. Moderate;1. Major;1. Major;4. none;32,105885829,44,3236726185;a. 0-49;unfinished;informal settlement;3.Moderate;44,32367262;32,10588583;
